#1-stop_sign 2-traffic_light 3-red_light 4-green_light 5-ped_sign 6-ped_crossing 7-parking_lot, 8-Garage
video_0001, 7;
video_0105, 5:1-337; 6;
video_0106, 1:1-60; 5:1-60; 7;
video_0107,
video_0108, 6;
video_0109, 5; 6;
video_0110,
video_0111, 5; 6;
video_0112, 6;
video_0113, 6;
video_0114,
video_0115, 5:1-168; 6:1-165;
video_0116,
video_0117, 5:1-116; 6:1-80; 7:115-600;
video_0118, 5:1-82; 7;
video_0119, 6;
video_0120, 5; 6;
video_0121,
video_0122, 6:1-75;
video_0123, 5; 6;
video_0124, 2:1-69,103-450; 3:355-450; 4:1-69; 5; 6:1-83;
video_0125, 6;
video_0126, 5:1-278; 6:1-255;
video_0127,
video_0128, 5:30-342; 6:265-330;
video_0129, 5; 7;
video_0130,
video_0131, 6:1-190;
video_0132, 5:1-268; 7;
video_0133,
video_0134, 7;
video_0135, 5; 6;
video_0136, 5:1-160, 185-209, 239-240; 6:1-230;
video_0137, 2:1-169; 3:1-169; 5:1-169;
video_0138, 2:1-108; 3:1-108; 5:1-108;
video_0139,
video_0140, 5:1-245; 6:1-225;
video_0141, 6; 7;
video_0142,
video_0143, 5; 6;
video_0144, 5:1-239; 6;
video_0145, 5:1-285; 6:1-275;
video_0146, 5:1-52; 6:1-115;
video_0147, 6:1-330; 7;
video_0148,
video_0149, 5; 6;
video_0150, 6;
video_0151, 5; 6;
video_0152, 5:1-38; 6:1-55;
video_0153,
video_0154, 2:65-330; 4:65-330; 5; 6:1-165;
video_0155, 5:1-160; 7;
video_0156, 1; 2:60-150; 3:60-150; 5;
video_0157, 5:1-65; 6;
video_0158, 6:1-170;
video_0159, 2; 4; 5; 6:1-75;
video_0160, 5:1-76; 6;
video_0161, 5; 6;
video_0162,
video_0163, 6;
video_0164, 6:1-115;
video_0165, 6;
video_0166,
video_0167, 6;
video_0168, 6:1-120;
video_0169, 6:75-180;
video_0170, 6;
video_0171, 5:1-50; 6;
video_0172, 6; 7;
video_0173, 6;
video_0174, 5; 6;
video_0175, 5; 6;
video_0176, 6;
video_0177, 6;
video_0178, 6;
video_0179, 5:1-223; 6:1-265;
video_0180,
video_0181, 7;
video_0182, 7;
video_0183,
video_0184,
video_0185, 5; 6:1-110;
video_0186,
video_0187, 5; 6;
video_0188, 7;
video_0189,
video_0190, 6;
video_0191, 5:1-130; 6:1-145;
video_0192, 6;
video_0193,
video_0194, 1;
video_0195,
video_0196, 6;
video_0197, 6;
video_0198, 5; 6:1-85;
video_0199, 2:1-20; 7;
video_0200, 7;
video_0201,
video_0202,
video_0203, 7;
video_0204, 2; 4:1-98; 5:1-97; 6;
video_0205, 5:1-83; 6;
video_0206, 5:1-80; 6;
video_0207, 6:1-52;
video_0208, 5;
video_0209,
video_0210,
video_0211, 5; 6;
video_0212, 5:1-67; 6;
video_0213, 5; 6;
video_0214, 5;
video_0215, 5; 6;
video_0216, 6:1-58;
video_0217, 5; 6:1-235;
video_0218, 6:1-100; 7;
video_0219, 6;
video_0220, 7;
video_0221, 6;
video_0222,
video_0223, 2; 3; 5; 6;
video_0224, 6; 7;
video_0225, 6;
video_0226, 5; 6;
video_0227, 2; 5:1-160; 6:1-135;
video_0228, 5:1-120; 6;
video_0229, 5:43-150; 6:100-150;
video_0230,
video_0231, 6:1-250;
video_0232, 6;
video_0233, 5; 6;
video_0234, 6;
video_0235, 5:1-82; 6;
video_0236, 5; 6;
video_0237, 6; 7;
video_0238, 6;
video_0239, 5:1-110; 6:1-115;
video_0240, 5; 6;
video_0241, 5; 6;
video_0242, 5; 6;
video_0243, 5:63-180; 6:35-150;
video_0244, 5; 6;
video_0245, 5; 6;
video_0246,
video_0247, 2; 4:55-210; 6;
video_0248, 2; 4:102-180;
video_0249, 5; 6;
video_0250, 5:1-117; 6;
video_0251, 6;
video_0252,
video_0253,
video_0254,
video_0255, 6:25-260;
video_0256,
video_0257, 5; 6;
video_0258, 6;
video_0259, 6:1-140;
video_0260, 5; 6;
video_0261, 6:1-10;
video_0262, 6:185-210;
video_0263, 5; 6;
video_0264, 5:1-58; 6:1-80;
video_0265, 5:1-56; 6;
video_0266, 5; 6;
video_0267, 5; 6;
video_0268, 5:1-23; 6;
video_0269, 6;
video_0270, 5; 6;
video_0271, 5; 6;
video_0272, 6; 7;
video_0273,
video_0274, 6;
video_0275, 5; 6;
video_0276, 6:110-240;
video_0277, 5; 6;
video_0278,
video_0279, 5; 6;
video_0280, 5; 6;
video_0281, 5;
video_0282,
video_0283,
video_0284,
video_0285,
video_0286, 5:1-185; 6;
video_0287, 6;
video_0288, 6:1-9;
video_0289,
video_0290, 6;
video_0291, 5; 6;
video_0292, 5; 6;
video_0293, 5; 6:70-270;
video_0294, 7;
video_0295,
video_0296,
video_0297,
video_0298, 6;
video_0299, 5; 6;
video_0300, 7;
video_0301, 5; 6;
video_0302, 5:60-106,121-180; 6;
video_0303, 6;
video_0304, 5;
video_0305, 5:1-18; 6;
video_0306, 5; 6;
video_0307, 6:1-235;
video_0308,
video_0309, 5:1-70; 6:1-77;
video_0310, 6;
video_0311, 6;
video_0312, 5; 6;
video_0313, 6;
video_0314, 6;
video_0315, 5:96-102, 106-171; 6;
video_0316, 6:1-73;
video_0317, 5; 6:167-270;
video_0318,
video_0319, 6;
video_0320, 7;
video_0321,
video_0322, 6;
video_0323, 5:1-146;
video_0324,
video_0325, 5:1-145; 6:30-150;
video_0326, 5:1-72; 6;
video_0327, 5:30-150; 6:110-150;
video_0328, 5:45-120;
video_0329,
video_0330,
video_0331, 2; 3; 5;
video_0332,
video_0333, 5; 6:20-210;
video_0334,
video_0335, 6; 7;
video_0336,
video_0337, 5;
video_0338, 5; 6;
video_0339, 5; 6:60-210;
video_0340,
video_0341, 2; 4; 5; 6;
video_0342, 2; 3; 5;
video_0343, 1:1-712; 2; 3:1-435; 4:436-720; 6;
video_0344,
video_0345,
video_0346,
