#video_id, pedestrian_id, group size, motion direction, designated, signalized, gender, age, num lanes, traffic direction, intersection, crossing
video_0001, pedestrian1, 1, LONG, ND, n/a, female, senior, 2, TW, no, -1
video_0021, pedestrian, 1, LONG, ND, n/a, male, adult, 2, TW, no, 0
video_0022, pedestrian1, 2, LAT, ND, n/a, male, adult, 2, TW, no, 1
video_0022, pedestrian2, 2, LAT, ND, n/a, male, young, 2, TW, no, 1
video_0023, pedestrian, 1, LAT, D, NS, male, adult, 2, TW, yes, 1
video_0024, pedestrian, 1, LAT, D, NS, male, adult, 2, TW, no, 1
video_0025, pedestrian1, 6, LAT, D, NS, male, adult, 2, TW, yes, 1
video_0025, pedestrian2, 6, LAT, D, NS, male, adult, 2, TW, yes, 1
video_0025, pedestrian3, 6, LAT, D, NS, male, adult, 2, TW, yes, 1
video_0025, pedestrian4, 6, LAT, D, NS, female, adult, 2, TW, yes, 1
video_0025, pedestrian5, 6, LAT, D, NS, female, adult, 2, TW, yes, 1
video_0025, pedestrian6, 6, LAT, D, NS, female, adult, 2, TW, yes, 1
video_0026, pedestrian1, 2, LAT, D, NS, male, adult, 2, TW, no, 1
video_0026, pedestrian2, 2, LAT, D, NS, male, adult, 2, TW, no, 1
video_0026, pedestrian3, 2, LAT, D, NS, female, adult, 2, TW, no, 1
video_0026, pedestrian4, 2, LAT, D, NS, male, adult, 2, TW, no, 1
video_0027, pedestrian1, 1, LAT, D, NS, female, adult, 2, TW, yes, 1
video_0028, pedestrian, 1, LAT, ND, n/a, male, adult, 1, OW, no, 1
#video_0029, n/a, n/a, n/a, n/a, n/a, n/a, n/a, 2, n/a
video_0030, pedestrian, 1, LAT, ND, n/a, female, senior, 2, OW, no, 1
video_0031, pedestrian1, 2, LAT, D, NS, male, adult, 2, TW, yes, 1
video_0031, pedestrian2, 2, LAT, D, NS, female, adult, 2, TW, yes, 1
video_0032, pedestrian, 1, LAT, ND, n/a, male, senior, 2, TW, no, 1
#video_0033, n/a, n/a, n/a, n/a, n/a, n/a, n/a, 2, n/a
#video_0034, n/a, n/a, n/a, n/a, n/a, n/a, n/a, 4, n/a
video_0035, pedestrian, 1, LONG, ND, n/a, male, adult, 2, TW, yes, 0
#video_0036, n/a, n/a, n/a, n/a, n/a, n/a, n/a, 5, n/a
video_0037, pedestrian, 1, n/a, ND, n/a, female, adult, 3, TW, yes, 0
video_0038, pedestrian, 1, LAT, ND, n/a, male, senior, 4, OW, no, 1
video_0039, pedestrian1, 1, LONG, D, S, male, adult, 1, OW, yes, 1
video_0039, pedestrian2, 1, LONG, D, S, female, adult, 1, OW, yes, 1
#video_0040, n/a, n/a, n/a, n/a, n/a, n/a, n/a, 4, n/a
video_0041, pedestrian, 1, LAT, D, NS, female, adult, 2, TW, yes, 1
video_0042, pedestrian, 1, LAT, ND, n/a, female, adult, 2, TW, no, 1
#video_0043, n/a, n/a, n/a, n/a, n/a, n/a, n/a, 4, n/a
video_0044, pedestrian, 1, LAT, D, S, male, adult, 2, TW, yes, 1
video_0045, pedestrian, 1, LAT, ND, n/a, female, young, 2, TW, no, 1
video_0046, pedestrian, 1, LAT, D, S, female, adult, 2, TW, no, 1
video_0047, pedestrian, 1, LONG, D, NS, female, adult, 2, TW, yes, 1
video_0048, pedestrian, 1, LONG, ND, n/a, female, adult, 2, TW, no, -1
video_0049, pedestrian1, 2, LAT, ND, n/a, female, adult, 2, TW, yes, 1
video_0049, pedestrian2, 2, LAT, ND, n/a, female, adult, 2, TW, yes, 1
video_0050, pedestrian, 1, LAT, D, S, female, adult, 2, TW, yes, 1
#video_0051, n/a, n/a, n/a, n/a, n/a, n/a, n/a, 3, n/a
#video_0052, n/a, n/a, n/a, n/a, n/a, n/a, n/a, 3, n/a
video_0053, pedestrian1, 2, LAT, ND, NS, male, adult, 4, OW, no, 1
video_0053, pedestrian2, 2, LAT, ND, NS, male, adult, 4, OW, no, 1
video_0054, pedestrian, 1, LAT, ND, n/a, male, adult, 4, TW, no, 1
video_0055, pedestrian1, 1, n/a, ND, n/a, male, adult, 2, TW, yes, 0
video_0055, pedestrian2, 1, n/a, ND, n/a, male, adult, 2, TW, yes, -1
video_0056, pedestrian, 1, LONG, ND, n/a, male, adult, 2, TW, yes, 1
video_0057, pedestrian, 1, LAT, D, S, female, adult, 2, TW, yes, 1
#video_0058, n/a, n/a, n/a, n/a, n/a, n/a, n/a, 5, n/a
video_0059, pedestrian1, 3, LAT, ND, n/a, female, adult, 2, TW, yes, 0
video_0059, pedestrian2, 3, LAT, ND, n/a, male, adult, 2, TW, yes, 0
video_0059, pedestrian3, 3, LAT, ND, n/a, male, young, 2, TW, yes, 0
video_0060, pedestrian, 1, LAT, ND, S, male, adult, 2, TW, yes, 1
video_0061, pedestrian, 1, LAT, ND, n/a, female, adult, 1, OW, no, 1
video_0062, pedestrian1, 2, LAT, D, NS, female, adult, 1, OW, yes, 1
video_0062, pedestrian2, 2, LAT, D, NS, male, adult, 1, OW, yes, 1
video_0062, pedestrian3, 2, LAT, D, NS, male, adult, 1, OW, yes, 1
video_0062, pedestrian4, 2, LAT, D, NS, male, adult, 1, OW, yes, 1
video_0062, pedestrian5, 1, LAT, D, NS, male, adult, 1, OW, yes, 1
video_0063, pedestrian1, 2, LAT, ND, n/a, male, adult, 1, OW, yes, 1
video_0063, pedestrian2, 2, LAT, ND, n/a, female, adult, 1, OW, yes, 1
video_0064, pedestrian1, 1, LONG, ND, n/a, male, senior, 1, OW, yes, -1
video_0064, pedestrian2, 1, LAT, D, NS, female, adult, 1, OW, yes, 1
video_0065, pedestrian1, 1, n/a, ND, n/a, male, adult, 2, OW, yes, -1
video_0065, pedestrian, 1, LAT, ND, n/a, male, senior, 2, OW, no, -1
video_0066, pedestrian, 1, LAT, D, NS, male, adult, 1, OW, yes, 1
video_0067, pedestrian1, 1, LAT, D, NS, female, adult, 2, OW, yes, 1
video_0067, pedestrian2, 4, LAT, D, NS, female, young, 2, OW, yes, 1
video_0067, pedestrian3, 4, LAT, D, NS, male, young, 2, OW, yes, 1
video_0067, pedestrian4, 4, LAT, D, NS, female, adult, 2, OW, yes, 1
video_0067, pedestrian5, 4, LAT, D, NS, female, adult, 2, OW, yes, 1
video_0067, pedestrian6, 1, LAT, D, NS, female, adult, 2, OW, yes, 1
video_0067, pedestrian7, 2, LAT, D, NS, female, senior, 2, OW, yes, 1
video_0067, pedestrian8, 2, LAT, D, NS, male, adult, 2, OW, yes, 1
video_0068, pedestrian, 1, n/a, ND, n/a, female, adult, 4, TW, yes, 0
video_0069, pedestrian1, 2, LAT, D, NS, female, adult, 4, OW, no, 0
video_0069, pedestrian2, 2, LAT, D, NS, female, adult, 4, OW, no, 0
video_0070, pedestrian, 1, LAT, D, NS, female, adult, 2, TW, yes, 1
video_0071, pedestrian1, 1, n/a, D, S, male, adult, 2, OW, yes, -1
video_0071, pedestrian2, 1, LAT, D, S, female, adult, 2, OW, yes, 1
video_0072, pedestrian1, 2, LAT, D, NS, female, adult, 4, TW, yes, 1
video_0072, pedestrian2, 2, LAT, D, NS, female, adult, 4, TW, yes, 1
video_0073, pedestrian, 1, LAT, ND, n/a, female, adult, 3, OW, no, 1
#video_0074, n/a, n/a, n/a, n/a, n/a, n/a, n/a, 1, n/a
#video_0075, n/a, n/a, n/a, n/a, n/a, n/a, n/a, 2, n/a
video_0076, pedestrian1, 3, LAT, D, S, female, adult, 2, TW, yes, 1
video_0076, pedestrian2, 3, LAT, D, S, male, adult, 2, TW, yes, 1
video_0076, pedestrian3, 3, LAT, D, S, male, adult, 2, TW, yes, 1
video_0077, pedestrian1, 3, LAT, D, S, male, young, 1, TW, yes, 1
video_0077, pedestrian2, 3, LAT, D, S, female, adult, 1, TW, yes, 1
video_0077, pedestrian3, 3, LAT, D, S, female, young, 1, TW, yes, 1
video_0078, pedestrian1, 2, LAT, ND, n/a, female, adult, 2, OW, yes, 1
video_0078, pedestrian2, 2, LAT, ND, n/a, female, adult, 2, OW, yes, 1
video_0079, pedestrian, 1, LAT, ND, n/a, male, adult, 2, OW, yes, 1
video_0080, pedestrian1, 2, LAT, D, NS, male, adult, 4, TW, yes, 1
video_0080, pedestrian2, 2, LAT, D, NS, female, senior, 4, TW, yes, 1
video_0081, pedestrian1, 2, LAT, ND, n/a, male, adult, 2, OW, yes, 1
video_0081, pedestrian2, 2, LAT, ND, n/a, male, adult, 2, OW, yes, 1
video_0082, pedestrian, 1, LAT, D, NS, female, adult, 4, TW, yes, 1
video_0083, pedestrian, 1, LAT, D, NS, female, adult, 4, TW, yes, 1
video_0084, pedestrian, 1, LAT, ND, n/a, female, senior, 2, TW, yes, 1
video_0085, pedestrian, 1, LAT, ND, S, female, senior, 1, TW, yes, 1
video_0086, pedestrian, 1, LONG, ND, n/a, male, adult, 2, TW, no, 0
video_0087, pedestrian1, 2, LAT, D, NS, female, adult, 4, TW, yes, 1
video_0087, pedestrian2, 2, LAT, D, NS, male, adult, 4, TW, yes, 1
video_0088, pedestrian, 1, LAT, D, NS, female, adult, 2, TW, yes, 1
video_0089, pedestrian1, 2, LAT, D, NS, female, adult, 2, TW, yes, 1
video_0089, pedestrian2, 2, LAT, D, NS, male, adult, 2, TW, yes, 1
video_0090, pedestrian, 1, LAT, D, NS, female, adult, 2, TW, yes, 1
video_0091, pedestrian, 1, LAT, D, S, female, adult, 1, TW, yes, 1
video_0092, pedestrian1, 3, LAT, ND, n/a, female, adult, 4, TW, yes, 1
video_0092, pedestrian2, 3, LAT, ND, n/a, female, adult, 4, TW, yes, 1
video_0092, pedestrian3, 3, LAT, ND, n/a, male, senior, 4, TW, yes, 0
video_0093, pedestrian1, 2, LAT, D, S, female, adult, 1, TW, yes, 1
video_0093, pedestrian2, 2, LAT, D, S, female, young, 1, TW, yes, 1
video_0094, pedestrian1, 2, LAT, ND, n/a, female, young, 2, TW, yes, 1
video_0094, pedestrian2, 2, LAT, ND, n/a, female, young, 2, TW, yes, 1
video_0095, pedestrian1, 1, LAT, D, NS, male, adult, 2, TW, yes, 1
video_0095, pedestrian2, 1, n/a, ND, n/a, female, adult, 2, TW, no, 0
video_0095, pedestrian3, 1, LONG, ND, n/a, male, adult, 2, TW, no, -1
video_0096, pedestrian, 1, LAT, ND, n/a, female, adult, 3, TW, yes, 1
video_0097, pedestrian, 1, LAT, D, NS, male, adult, 3, TW, yes, 1
video_0098, pedestrian1, 2, LAT, D, NS, female, adult, 2, TW, yes, 1
video_0098, pedestrian2, 2, LAT, D, NS, male, adult, 2, TW, yes, 1
video_0099, pedestrian, 1, LAT, D, NS, female, adult, 4, TW, yes, 1
video_0100, pedestrian, 1, LAT, D, NS, female, adult, 4, TW, yes, 1
video_0101, pedestrian, 1, LAT, D, S, female, adult, 2, TW, yes, 1
video_0102, pedestrian, 1, LAT, D, NS, female, adult, 3, OW, yes, 1
video_0103, pedestrian1, 3, LAT, D, NS, female, senior, 4, TW, yes, 1
video_0103, pedestrian2, 3, LAT, D, NS, female, senior, 4, TW, yes, 1
video_0103, pedestrian3, 3, LAT, D, NS, female, young, 4, TW, yes, 1
video_0104, pedestrian, 1, LAT, ND, n/a, female, senior, 2, TW, yes, 1
video_0105, pedestrian1, 3, LAT, D, NS, female, adult, 3, TW, yes, 1
video_0105, pedestrian2, 3, LAT, D, NS, female, adult, 3, TW, yes, 1
video_0105, pedestrian3, 3, LAT, D, NS, n/a, child, 3, TW, yes, 1
video_0106, pedestrian1, 2, LONG, ND, n/a, male, adult, 1, TW, no, -1
video_0106, pedestrian2, 2, LONG, ND, n/a, female, adult, 1, TW, no, -1
video_0107, pedestrian, 1, LAT, ND, n/a, female, senior, 2, TW, yes, 0
video_0108, pedestrian, 1, LAT, D, NS, female, adult, 4, TW, yes, 1
video_0109, pedestrian1, 2, LAT, D, NS, male, adult, 3, TW, yes, 1
video_0109, pedestrian2, 2, LAT, D, NS, male, adult, 3, TW, yes, 1
video_0109, pedestrian3, 1, LAT, D, NS, male, adult, 3, TW, yes, 1
video_0110, pedestrian1, 2, LAT, ND, n/a, male, adult, 2, TW, no, 1
video_0110, pedestrian2, 2, LAT, ND, n/a, female, adult, 2, TW, no, 1
video_0111, pedestrian1, 1, LAT, D, NS, male, adult, 3, TW, yes, 1
video_0111, pedestrian2, 1, LAT, D, NS, female, adult, 3, TW, yes, 1
video_0112, pedestrian1, 1, LAT, D, NS, female, adult, 4, TW, yes, 1
video_0112, pedestrian2, 1, LAT, D, NS, female, adult, 4, TW, yes, 1
video_0113, pedestrian1, 2, LAT, D, NS, female, adult, 3, TW, yes, 1
video_0113, pedestrian2, 2, LAT, D, NS, male, young, 3, TW, yes, 1
video_0114, pedestrian1, 1, LAT, ND, n/a, female, adult, 2, TW, yes, 1
video_0114, pedestrian2, 1, LAT, ND, n/a, male, adult, 2, TW, yes, 1
video_0115, pedestrian1, 1, LAT, D, NS, male, adult, 4, TW, yes, 0
video_0116, pedestrian1, 1, LAT, ND, n/a, male, adult, 2, TW, yes, 1
video_0116, pedestrian2, 1, LAT, ND, n/a, female, adult, 2, TW, yes, 0
video_0117, pedestrian1, 2, LONG, ND, n/a, male, adult, 1, TW, no, -1
video_0117, pedestrian2, 2, LONG, ND, n/a, female, adult, 1, TW, no, -1
video_0118, pedestrian, 1, LONG, ND, n/a, female, adult, 2, TW, yes, 1
video_0119, pedestrian1, 1, LAT, D, NS, male, adult, 4, TW, yes, 1
video_0119, pedestrian2, 1, n/a, ND, n/a, male, adult, 4, TW, no, 0
video_0120, pedestrian, 1, LAT, D, NS, female, adult, 3, TW, yes, 1
#video_0121, n/a, n/a, n/a, n/a, n/a, n/a, n/a, 4, n/a
video_0122, pedestrian1, 2, LAT, D, S, female, senior, 4, TW, yes, 1
video_0122, pedestrian2, 2, LAT, D, S, male, adult, 4, TW, yes, 1
video_0123, pedestrian, 1, LAT, D, NS, male, senior, 3, TW, yes, 1
video_0124, pedestrian1, 1, LAT, D, S, female, adult, 3, TW, yes, 1
video_0124, pedestrian2, 2, LAT, D, S, female, young, 3, TW, yes, 1
video_0124, pedestrian3, 2, LAT, D, S, female, adult, 3, TW, yes, 1
video_0124, pedestrian4, 1, LAT, D, S, male, adult, 3, TW, yes, 1
video_0124, pedestrian5, 1, LAT, D, S, male, adult, 3, TW, yes, -1
video_0125, pedestrian1, 1 , LAT, D, NS, female, adult, 3, TW, yes, 1
video_0125, pedestrian2, 1 , LAT, D, NS, male, adult, 3, TW, yes, -1
video_0126, pedestrian, 1, LAT, D, NS, female, adult, 2, OW, yes, 1
#video_0127, n/a, n/a, n/a, n/a, n/a, n/a, n/a, 2, n/a
video_0128, pedestrian1, 1, LAT, ND, n/a, male, adult, 3, TW, yes, -1
video_0128, pedestrian2, 2, LAT, D, NS, female, adult, 3, TW, yes, 1
video_0128, pedestrian3, 2, LAT, D, NS, n/a, child, 3, TW, yes, 1
video_0128, pedestrian4, 1, LAT, D, NS, male, adult, 3, TW, yes, 0
video_0128, pedestrian5, 1, LAT, ND, n/a, male, adult, 3, TW, yes, 0
video_0129, pedestrian, 1, LAT, ND, n/a, female, adult, 1, TW, yes, 1
video_0130, pedestrian1, 1, LAT, ND, n/a, male, adult, 2, TW, yes, 1
video_0130, pedestrian2, 1, n/a, ND, n/a, female, adult, 2, TW, yes, 0
video_0131, pedestrian1, 2, LAT, D, NS, female, adult, 2, OW, yes, 1
video_0131, pedestrian2, 2, LAT, D, NS, female, adult, 2, OW, yes, 1
video_0132, pedestrian1, 2, LAT, D, NS, female, senior, 2, TW, yes, 1
video_0132, pedestrian2, 2, LAT, D, NS, male, senior, 2, TW, yes, 1
video_0133, pedestrian1, 1, LONG, ND, n/a, male, senior, 4, TW, no, 1
video_0133, pedestrian2, 1, n/a, ND, n/a, male, adult, 4, TW, no, -1
video_0134, pedestrian1, 2, LAT, ND, n/a, male, adult, 1, TW, yes, 1
video_0134, pedestrian2, 2, LAT, ND, n/a, female, adult, 1, TW, yes, 1
video_0135, pedestrian10, 2, LAT, D, NS, male, adult, 2, OW, yes, 1
video_0135, pedestrian11, 2, LAT, D, NS, female, adult, 2, OW, yes, 1
video_0135, pedestrian12, 1, LONG, ND, NS, male, adult, 2, OW, yes, -1
video_0135, pedestrian1, 5, LAT, D, NS, female, adult, 2, OW, yes, 1
video_0135, pedestrian2, 5, LAT, D, NS, female, senior, 2, OW, yes, 1
video_0135, pedestrian3, 5, LAT, D, NS, male, adult, 2, OW, yes, 1
video_0135, pedestrian4, 5, LAT, D, NS, male, adult, 2, OW, yes, 1
video_0135, pedestrian5, 5, LAT, D, NS, male, adult, 2, OW, yes, 1
video_0135, pedestrian6, 3, LAT, D, NS, female, adult, 2, OW, yes, 1
video_0135, pedestrian7, 3, LAT, D, NS, female, adult, 2, OW, yes, 1
video_0135, pedestrian8, 3, LAT, D, NS, male, senior, 2, OW, yes, 1
video_0135, pedestrian9, 1, LAT, D, NS, female, senior, 2, OW, yes, 1
video_0136, pedestrian1, 1, LAT, D, NS, male, adult, 4, TW, no, 1
video_0136, pedestrian2, 1, n/a, ND, n/a, male, adult, 4, TW, no, -1
video_0137, pedestrian, 1, LAT, D, S, male, adult, 4, TW, yes, 1
video_0138, pedestrian1, 1, LAT, D, S, male, adult, 4, TW, yes, 1
video_0138, pedestrian2, 3, LAT, D, S, female, adult, 4, TW, yes, 1
video_0138, pedestrian3, 3, LAT, D, S, female, senior, 4, TW, yes, 1
video_0138, pedestrian4, 3, LAT, D, S, female, adult, 4, TW, yes, 1
video_0139, pedestrian1, 4, LAT, ND, n/a, male, adult, 2, TW, yes, 1
video_0139, pedestrian2, 4, LAT, ND, n/a, male, adult, 2, TW, yes, 1
video_0139, pedestrian3, 4, LAT, ND, n/a, male, adult, 2, TW, yes, 1
video_0139, pedestrian4, 4, LAT, ND, n/a, male, adult, 2, TW, yes, 1
video_0140, pedestrian, 1, LAT, D, NS, female, adult, 4, TW, yes, 1
video_0141, pedestrian1, 2, LAT, D, NS, male, adult, 1, TW, yes, 1
video_0141, pedestrian2, 2, LAT, D, NS, male, adult, 1, TW, yes, 1
#video_0142, n/a, n/a, n/a, n/a, n/a, n/a, n/a, 3, no
video_0143, pedestrian1, 2, LAT, D, NS, male, adult, 3, OW, yes, 1
video_0143, pedestrian2, 2, LAT, D, NS, male, adult, 3, OW, yes, 1
video_0143, pedestrian3, 1, LAT, D, NS, female, adult, 3, OW, yes, 1
video_0144, pedestrian1, 2, LAT, D, NS, male, adult, 3, TW, yes, 1
video_0144, pedestrian2, 2, LAT, D, NS, male, adult, 3, TW, yes, 1
video_0144, pedestrian3, 2, LAT, D, NS, female, adult, 3, TW, yes, 1
video_0144, pedestrian4, 2, LAT, D, NS, female, adult, 3, TW, yes, 1
video_0145, pedestrian1, 1, LAT, D, NS, female, adult, 2, TW, yes, 1
video_0145, pedestrian2, 2, LAT, D, NS, female, senior, 2, TW, yes, 1
video_0145, pedestrian3, 2, LAT, D, NS, male, senior, 2, TW, yes, 1
video_0146, pedestrian1, 3, LAT, D, S, female, adult, 6, TW, yes, 1
video_0146, pedestrian2, 3, LAT, D, S, female, adult, 6, TW, yes, 1
video_0146, pedestrian3, 3, LAT, D, S, male, senior, 6, TW, yes, 1
video_0147, pedestrian1, 1, LAT, D, NS, male, adult, 1, OW, yes, 0
video_0147, pedestrian2, 1, LAT, D, NS, male, adult, 1, OW, yes, 1
video_0148, pedestrian1, 2, LONG, ND, n/a, male, adult, 2, TW, no, 0
video_0148, pedestrian2, 2, LONG, ND, n/a, male, adult, 2, TW, no, 0
video_0149, pedestrian1, 1, LAT, D, NS, male, senior, 2, OW, yes, 1
video_0149, pedestrian2, 2, LAT, D, NS, female, adult, 2, OW, yes, 1
video_0149, pedestrian3, 2, LAT, D, NS, female, adult, 2, OW, yes, 1
video_0149, pedestrian4, 1, LAT, D, NS, female, adult, 2, OW, yes, 1
video_0150, pedestrian1, 1, LAT, D, NS, male, adult, 2, TW, yes, 1
video_0150, pedestrian2, 1, LAT, D, NS, female, adult, 4, TW, yes, 1
video_0150, pedestrian3, 1, LAT, D, NS, female, adult, 4, TW, yes, 1
video_0151, pedestrian1, 2, LAT, D, NS, female, adult, 3, TW, yes, 1
video_0151, pedestrian2, 2, LAT, D, NS, female, senior, 3, TW, yes, 1
video_0152, pedestrian1, 1, LAT, ND, n/a, male, senior, 3, TW, yes, 0
video_0152, pedestrian2, 4, LAT, ND, n/a, female, adult, 3, TW, yes, 1
video_0152, pedestrian3, 4, LAT, ND, n/a, n/a, child, 3, TW, yes, 1
video_0152, pedestrian4, 4, LAT, ND, n/a, n/a, child, 3, TW, yes, 1
video_0152, pedestrian5, 4, LAT, ND, n/a, female, adult, 3, TW, yes, 1
video_0152, pedestrian6, 4, LAT, ND, n/a, female, adult, 3, TW, yes, 0
#video_0153, n/a, n/a, n/a, n/a, n/a, n/a, n/a, 2, n/a
video_0154, pedestrian1, 1, LAT, D, NS, female, adult, 2, TW, yes, 1
video_0154, pedestrian2, 1, LAT, D, NS, female, adult, 2, TW, yes, 1
video_0155, pedestrian, 1, LAT, D, NS, male, adult, 2, TW, yes, 1
video_0156, pedestrian1, 2, LAT, ND, n/a, male, adult, 3, OW, no, 1
video_0156, pedestrian2, 2, LAT, ND, n/a, female, adult, 3, OW, no, 1
video_0157, pedestrian1, 1, LAT, D, NS, male, senior, 2, OW, yes, 1
video_0157, pedestrian2, 1, LAT, D, NS, female, adult, 2, OW, yes, 1
video_0157, pedestrian3, 1, n/a, ND, n/a, male, adult, 2, OW, no, -1
video_0158, pedestrian, 1, LAT, D, NS, female, adult, 2, OW, yes, 1
video_0159, pedestrian1, 3, LAT, D, S, male, senior, 4, TW, yes, 1
video_0159, pedestrian2, 3, LAT, D, S, female, senior, 4, TW, yes, 1
video_0159, pedestrian3, 3, LAT, D, S, male, adult, 4, TW, yes, 1
video_0160, pedestrian, 1, LAT, D, NS, female, adult, 2, OW, yes, 1
video_0161, pedestrian, 1, LAT, D, NS, female, adult, 2, OW, yes, 1
video_0162, pedestrian, 1, n/a, ND, n/a, male, adult, 6, TW, no, 0
video_0163, pedestrian, 1, LAT, D, NS, female, adult, 2, TW, yes, 1
video_0164, pedestrian1, 2, LAT, D, NS, female, adult, 4, TW, yes, 1
video_0164, pedestrian2, 2, LAT, D, NS, female, young, 4, TW, yes, 1
video_0165, pedestrian1, 1, LONG, ND, n/a, male, adult, 4, TW, yes, -1
video_0165, pedestrian2, 2, LAT, D, NS, male, adult, 4, TW, yes, 1
video_0165, pedestrian3, 2, LAT, D, NS, female, senior, 4, TW, yes, 1
video_0166, pedestrian, 1, LAT, ND, n/a, male, adult, 2, TW, yes, 1
video_0167, pedestrian, 1, LAT, D, NS, male, adult, 2, TW, yes, 1
video_0168, pedestrian, 1, LAT, D, NS, female, adult, 4, TW, yes, 1
video_0169, pedestrian, 1, LAT, D, NS, male, adult, 4, TW, yes, 1
video_0170, pedestrian, 1, LAT, D, NS, female, adult, 4, TW, yes, 1
video_0171, pedestrian1, 1, LAT, D, NS, female, adult, 2, OW, yes, 1
video_0171, pedestrian2, 1, LONG, ND, n/a, female, senior, 2, OW, yes, -1
video_0172, pedestrian1, 3, LAT, D, NS, male, adult, 1, TW, yes, 1
video_0172, pedestrian2, 3, LAT, D, NS, male, adult, 1, TW, yes, 1
video_0172, pedestrian3, 3, LAT, D, NS, male, adult, 1, TW, yes, 1
video_0173, pedestrian, 1, LAT, D, NS, female, adult, 2, OW, yes, 1
video_0174, pedestrian1, 2, LAT, D, S, male, adult, 3, TW, yes, 1
video_0174, pedestrian2, 2, LAT, D, S, female, adult, 3, TW, yes, 1
video_0175, pedestrian1, 4, LAT, D, NS, male, senior, 2, OW, yes, 1
video_0175, pedestrian2, 4, LAT, D, NS, n/a, child, 2, OW, yes, 1
video_0175, pedestrian3, 4, LAT, D, NS, female, adult, 2, OW, yes, 1
video_0175, pedestrian4, 4, LAT, D, NS, n/a, child, 2, OW, yes, 1
video_0176, pedestrian, 1, LAT, D, NS, female, adult, 2, TW, yes, 1
video_0177, pedestrian1, 1, LAT, D, NS, female, senior, 3, OW, yes, 1
video_0177, pedestrian2, 1, LAT, D, NS, female, adult, 3, OW, yes, 1
video_0178, pedestrian1, 3, LAT, D, NS, female, adult, 4, TW, yes, 1
video_0178, pedestrian2, 3, LAT, D, NS, female, young, 4, TW, yes, 1
video_0178, pedestrian3, 3, LAT, D, NS, female, adult, 4, TW, yes, 1
video_0178, pedestrian4, 2, LAT, D, NS, female, adult, 4, TW, yes, 1
video_0178, pedestrian5, 2, LAT, D, NS, male, adult, 4, TW, yes, 1
video_0179, pedestrian1, 1, LAT, D, NS, female, adult, 3, TW, yes, 1
video_0179, pedestrian2, 1, LAT, ND, n/a, female, senior, 3, TW, yes, 1
video_0180, pedestrian1, 2, LONG, ND, n/a, female, senior, 2, TW, no, -1
video_0180, pedestrian2, 2, LONG, ND, n/a, female, senior, 2, TW, no, -1
video_0181, pedestrian, 1, LONG, ND, n/a, male, adult, 1, TW, no, -1
#video_0182, n/a, n/a, n/a, n/a, n/a, n/a, n/a, 1, n/a
